SOC,OCV(mV)
3.888888888888889e-06,2998
1.791666666666667e-05,3014
3.180555555555556e-05,3015
4.569444444444445e-05,3016
5.972222222222223e-05,3017
7.361111111111111e-05,3018
8.75e-05,3019
0.0001015277777777778,3020
0.0001154166666666667,3020
0.0001293055555555556,3020
0.0001430555555555556,3021
0.0001569444444444445,3022
0.0001709722222222223,3022
0.0001848611111111111,3023
0.0001986111111111112,3023
0.0002123611111111112,3023
0.0002262500000000001,3024
0.0002400000000000001,3025
0.0002536111111111112,3025
0.0002675000000000001,3026
0.0002811111111111112,3026
0.0002948611111111112,3026
0.0003087500000000001,3027
0.000322638888888889,3028
0.0003366666666666668,3028
0.0003505555555555557,3029
0.0003643055555555556,3029
0.0003779166666666668,3029
0.0003916666666666668,3030
0.0004055555555555556,3031
0.0004194444444444446,3031
0.0004334722222222224,3031
0.0004473611111111113,3032
0.0004612500000000002,3032
0.000475138888888889,3033
0.0004888888888888891,3033
0.0005027777777777779,3034
0.000516527777777778,3034
0.0005304166666666668,3034
0.0005441666666666668,3035
0.0005579166666666668,3035
0.0005716666666666668,3036
0.0005855555555555557,3036
0.0005993055555555557,3036
0.0006131944444444446,3037
0.0006270833333333334,3037
0.0006409722222222222,3038
0.0006547222222222223,3038
0.0006684722222222223,3038
0.0006823611111111112,3039
0.00069625,3039
0.0007101388888888888,3039
0.0007238888888888889,3040
0.0007377777777777777,3041
0.0007516666666666665,3041
0.0007656944444444444,3042
0.0007795833333333332,3042
0.0007933333333333332,3042
0.0008072222222222221,3042
0.0008209722222222221,3043
0.000834861111111111,3043
0.000848472222222222,3043
0.0008622222222222221,3044
0.0008758333333333333,3044
0.0008895833333333333,3045
0.0009033333333333334,3045
0.0009170833333333333,3046
0.0009306944444444445,3046
0.0009445833333333333,3046
0.0009584722222222222,3047
0.000972361111111111,3047
0.00098625,3048
0.0009999999999999998,3048
0.001013888888888889,3048
0.001027638888888889,3048
0.001041527777777778,3049
0.001055416666666667,3049
0.001069305555555555,3050
0.001083194444444444,3050
0.001097222222222222,3050
0.001111111111111111,3051
0.001124861111111111,3051
0.001138472222222222,3051
0.001152222222222222,3052
0.00116611111111111,3052
0.001179999999999999,3053
0.001193888888888888,3053
0.001207638888888888,3053
0.001221388888888888,3054
0.001235277777777777,3054
0.001248888888888888,3054
0.001262777777777777,3055
0.001276666666666666,3055
0.001290694444444443,3056
0.001304444444444443,3056
0.001318333333333332,3056
0.001332222222222221,3057
0.001346249999999999,3057
0.001360138888888888,3057
0.001373888888888887,3058
0.001387916666666665,3058
0.001401805555555554,3058
0.001415555555555554,3059
0.001429444444444443,3059
0.001443333333333332,3059
0.00145722222222222,3060
0.00147097222222222,3060
0.001484861111111109,3060
0.001498611111111109,3061
0.001512499999999998,3061
0.001526388888888887,3061
0.001540277777777776,3062
0.001554166666666664,3062
0.001567777777777776,3062
0.001581666666666664,3063
0.001595555555555553,3063
0.001609305555555553,3063
0.001623194444444442,3064
0.001637083333333331,3064
0.00165097222222222,3065
0.001664861111111108,3065
0.001678611111111108,3065
0.001692361111111108,3065
0.001706388888888886,3066
0.001720277777777775,3066
0.001734166666666664,3067
0.001747916666666664,3067
0.001761666666666664,3067
0.001775416666666663,3067
0.001789166666666664,3068
0.001802916666666663,3068
0.001816666666666663,3069
0.001830555555555552,3069
0.001844444444444441,3069
0.00185833333333333,3069
0.001872222222222219,3070
0.001886249999999996,3070
0.001899999999999996,3070
0.001913888888888885,3071
0.001927777777777774,3071
0.001941666666666663,3072
0.001955555555555552,3072
0.001969305555555552,3072
0.001983194444444441,3072
0.001996944444444441,3073
0.002010833333333329,3073
0.002024583333333329,3074
0.002038333333333329,3074
0.002052083333333329,3074
0.002065972222222218,3075
0.002079722222222218,3075
0.002093611111111107,3075
0.002107361111111107,3076
0.002121249999999996,3076
0.002134999999999995,3076
0.002148749999999995,3076
0.002162638888888884,3077
0.002176527777777773,3077
0.002190277777777773,3077
0.002204166666666662,3077
0.00221805555555555,3078
0.002231805555555551,3078
0.002245555555555551,3078
0.002259444444444439,3079
0.002273194444444439,3079
0.002286944444444439,3079
0.002300833333333328,3080
0.002314583333333328,3080
0.002328333333333328,3081
0.002342222222222216,3081
0.002355972222222217,3081
0.002369722222222217,3081
0.002383611111111105,3082
0.002397361111111105,3082
0.002411111111111105,3082
0.002424999999999994,3083
0.002438749999999994,3083
0.002452499999999994,3083
0.002466249999999994,3083
0.002479999999999994,3084
0.002493749999999994,3084
0.002507499999999994,3084
0.002521249999999994,3085
0.002534861111111104,3085
0.002548749999999993,3085
0.002562499999999993,3086
0.002576249999999993,3086
0.002589999999999993,3087
0.002603749999999993,3086
0.002617499999999993,3087
0.002631249999999993,3087
0.002644999999999993,3087
0.002658888888888882,3088
0.00267277777777777,3088
0.002686666666666659,3089
0.002700555555555548,3089
0.002714444444444437,3089
0.002728333333333326,3089
0.002742361111111104,3090
0.002756111111111104,3090
0.002769861111111104,3090
0.002783749999999992,3091
0.002797499999999992,3091
0.002811388888888881,3091
0.002825138888888881,3091
0.00283902777777777,3092
0.002852916666666659,3092
0.002866666666666659,3092
0.002880416666666659,3092
0.002894305555555548,3093
0.002908194444444436,3093
0.002922222222222214,3094
0.002935972222222214,3094
0.002949999999999992,3094
0.002963749999999992,3094
0.002977361111111103,3094
0.002991249999999991,3095
0.003004999999999992,3095
0.003019027777777769,3095
0.003032777777777769,3096
0.003046666666666658,3096
0.003060416666666658,3096
0.003074305555555547,3097
0.003088055555555547,3097
0.003101805555555546,3097
0.003115833333333324,3098
0.003129861111111102,3098
0.003143611111111102,3098
0.003157361111111102,3098
0.003171111111111102,3099
0.003184999999999991,3099
0.00319888888888888,3099
0.003212638888888879,3100
0.00322624999999999,3100
0.00323999999999999,3100
0.003254027777777768,3101
0.003267777777777768,3101
0.003281527777777768,3101
0.003295277777777768,3101
0.003309027777777768,3102
0.003323055555555546,3102
0.003336944444444434,3102
0.003350694444444434,3102
0.003364583333333323,3103
0.003378472222222212,3103
0.003392222222222212,3103
0.003405972222222212,3104
0.003419722222222212,3104
0.003433611111111101,3104
0.00344749999999999,3105
0.003461388888888878,3105
0.003475277777777767,3105
0.003488888888888878,3105
0.003502638888888878,3105
0.003516388888888878,3106
0.003530416666666656,3106
0.003544305555555545,3106
0.003558194444444434,3107
0.003571944444444434,3107
0.003585694444444433,3107
0.003599444444444433,3107
0.003613194444444433,3108
0.003627083333333322,3108
0.003640833333333322,3108
0.003654722222222211,3109
0.003668472222222211,3109
0.003682499999999989,3109
0.003696249999999989,3109
0.003709999999999988,3110
0.003723749999999988,3110
0.003737638888888877,3110
0.003751388888888877,3110
0.003765138888888877,3111
0.003778888888888877,3111
0.003792777777777766,3111
0.003806527777777766,3111
0.003820416666666655,3112
0.003834444444444432,3112
0.003848333333333321,3112
0.003862083333333321,3112
0.003876111111111099,3113
0.003889861111111099,3113
0.003903888888888876,3114
0.003917777777777766,3114
0.003931388888888877,3114
0.003945138888888877,3114
0.003958888888888876,3114
0.003972916666666654,3115
0.003986666666666654,3115
0.004000555555555543,3115
0.004014444444444432,3115
0.004028333333333322,3116
0.004042083333333322,3116
0.004055972222222211,3117
0.004069583333333323,3116
0.004083333333333323,3117
0.004097222222222211,3117
0.004110833333333323,3117
0.004124722222222213,3118
0.004138611111111102,3118
0.004152361111111101,3118
0.004166249999999991,3119
0.004179999999999991,3119
0.004193749999999991,3119
0.004207499999999991,3119
0.004221527777777768,3120
0.00423513888888888,3120
0.00424888888888888,3120
0.004262777777777769,3120
0.004276805555555547,3121
0.004290694444444436,3121
0.004304305555555547,3121
0.004318194444444437,3121
0.004332083333333326,3122
0.004345972222222215,3122
0.004359722222222215,3122
0.004373472222222215,3122
0.004387361111111105,3123
0.004401249999999994,3123
0.004414861111111106,3123
0.004428749999999994,3123
0.004442638888888884,3123
0.004456527777777773,3124
0.004470277777777774,3124
0.004484166666666662,3124
0.004497777777777774,3125
0.004511527777777774,3125
0.004525277777777774,3125
0.004539166666666663,3125
0.004552916666666663,3126
0.004566805555555552,3126
0.004580555555555552,3126
0.004594444444444442,3127
0.004608333333333331,3127
0.00462222222222222,3127
0.00463597222222222,3127
0.00464972222222222,3127
0.00466347222222222,3128
0.004677361111111109,3128
0.004690972222222221,3128
0.004704999999999998,3129
0.004718749999999998,3129
0.004732638888888888,3129
0.004746388888888888,3129
0.004760138888888888,3129
0.004774027777777776,3130
0.004787916666666666,3130
0.004801805555555555,3130
0.004815555555555556,3130
0.004829444444444444,3131
0.004843194444444444,3131
0.004856805555555556,3131
0.004870555555555556,3131
0.004884305555555556,3132
0.004898194444444445,3132
0.004912083333333334,3132
0.004925972222222224,3132
0.004939722222222224,3133
0.004953750000000002,3133
0.004967500000000001,3133
0.00498138888888889,3133
0.00499513888888889,3134
0.00500902777777778,3134
0.005022916666666669,3134
0.005036805555555558,3134
0.005050694444444447,3135
0.005064583333333337,3135
0.005078194444444449,3135
0.005092083333333337,3135
0.005106111111111115,3136
0.005120138888888893,3136
0.005134027777777782,3136
0.005147777777777782,3136
0.005161527777777782,3137
0.005175416666666671,3137
0.005189305555555561,3137
0.005203055555555561,3138
0.00521694444444445,3138
0.00523069444444445,3138
0.00524444444444445,3138
0.005258333333333339,3138
0.005272222222222228,3139
0.005286111111111117,3139
0.005300000000000007,3139
0.005313888888888897,3139
0.005327777777777785,3140
0.005341666666666675,3140
0.005355416666666675,3140
0.005369166666666675,3140
0.005382777777777786,3140
0.005396666666666675,3141
0.005410555555555564,3141
0.005424444444444454,3141
0.005438194444444454,3141
0.005452083333333343,3142
0.005465972222222232,3142
0.005479722222222232,3142
0.005493333333333344,3142
0.005507222222222233,3143
0.005520833333333345,3143
0.005534583333333344,3143
0.005548472222222234,3144
0.005562361111111123,3144
0.005576250000000013,3144
0.005590000000000012,3144
0.005604166666666679,3145
0.005618055555555569,3144
0.005631805555555569,3144
0.00564541666666668,3145
0.00565916666666668,3145
0.00567291666666668,3145
0.005686805555555569,3146
0.005700694444444459,3146
0.005714444444444459,3146
0.005728194444444458,3146
0.005742222222222236,3147
0.005755972222222236,3147
0.005769722222222236,3147
0.005783750000000014,3147
0.005797361111111126,3147
0.005811250000000014,3148
0.005825000000000014,3148
0.005838750000000014,3148
0.005852500000000014,3148
0.005866388888888904,3149
0.005880416666666681,3149
0.00589430555555557,3149
0.005908055555555571,3149
0.00592194444444446,3150
0.005935833333333349,3150
0.005949583333333349,3150
0.005963333333333349,3150
0.005977222222222238,3150
0.005991111111111128,3151
0.006004861111111127,3151
0.006018611111111127,3151
0.006032500000000017,3152
0.006046388888888906,3152
0.006060416666666684,3152
0.006074166666666683,3152
0.006088055555555573,3152
0.006101666666666684,3152
0.006115416666666684,3153
0.006129305555555574,3153
0.006143194444444463,3153
0.006156944444444463,3153
0.006170833333333352,3154
0.006184722222222242,3154
0.00619861111111113,3154
0.00621236111111113,3154
0.00622625000000002,3155
0.00624000000000002,3155
0.006253888888888909,3155
0.006267916666666686,3155
0.006281666666666687,3155
0.006295555555555576,3156
0.006309444444444466,3156
0.006323194444444465,3156
0.006336944444444465,3156
0.006351111111111132,3157
0.006364722222222244,3157
0.006378472222222244,3157
0.006392222222222244,3157
0.006405972222222243,3157
0.006419861111111133,3158
0.006433472222222244,3158
0.006447361111111134,3158
0.006461388888888911,3159
0.0064752777777778,3159
0.0064890277777778,3159
0.0065027777777778,3159
0.006516527777777801,3159
0.00653041666666669,3160
0.006544444444444467,3159
0.006558194444444467,3160
0.006571805555555579,3160
0.006585694444444468,3160
0.006599583333333357,3161
0.006613194444444468,3161
0.006627083333333358,3161
0.006640972222222248,3161
0.006654722222222248,3161
0.006668472222222247,3162
0.006682222222222247,3162
0.006696111111111136,3162
0.006709722222222248,3162
0.00672333333333336,3162
0.00673708333333336,3163
0.00675083333333336,3163
0.006764722222222248,3163
0.006778611111111138,3164
0.006792361111111138,3164
0.006806388888888916,3164
0.006820138888888915,3164
0.006833750000000026,3164
0.006847638888888916,3165
0.006861388888888916,3165
0.006875277777777806,3165
0.006889027777777806,3165
0.006902916666666694,3166
0.006916805555555584,3166
0.006930555555555584,3166
0.006944444444444473,3166
0.006958333333333362,3166
0.006972222222222252,3167
0.006985972222222252,3167
0.006999861111111141,3167
0.007013472222222253,3167
0.00702750000000003,3167
0.007041388888888919,3168
0.007055416666666697,3168
0.007069305555555586,3168
0.007083055555555586,3168
0.007096944444444476,3168
0.007110694444444476,3168
0.007124583333333365,3169
0.007138333333333365,3169
0.007152222222222254,3169
0.007165833333333365,3169
0.007179722222222255,3170
0.007193472222222255,3170
0.007207361111111144,3170
0.007220972222222255,3170
0.007234722222222255,3171
0.007248611111111145,3171
0.007262361111111145,3171
0.007276111111111145,3171
0.007290000000000033,3171
0.007303888888888923,3172
0.007317777777777813,3172
0.007331527777777813,3172
0.007345138888888924,3172
0.007359027777777813,3172
0.007373055555555591,3173
0.007386666666666702,3173
0.007400416666666702,3173
0.007414305555555591,3173
0.007428333333333369,3173
0.007442222222222259,3174
0.007456111111111148,3174
0.007469861111111148,3174
0.007483472222222259,3174
0.007497222222222259,3174
0.007511111111111148,3175
0.007524861111111148,3175
0.007538611111111148,3175
0.007552361111111149,3175
0.007566388888888926,3176
0.007580000000000037,3175
0.007593888888888927,3176
0.007607777777777816,3176
0.007621666666666705,3176
0.007635555555555594,3177
0.007649166666666706,3176
0.007663055555555596,3177
0.007676666666666707,3177
0.007690555555555596,3177
0.007704305555555596,3178
0.007718194444444485,3178
0.007732083333333375,3178
0.007745972222222263,3178
0.007759722222222263,3178
0.007773472222222264,3178
0.007787361111111153,3179
0.007801250000000043,3179
0.00781527777777782,3179
0.00782916666666671,3179
0.00784291666666671,3179
0.007856805555555598,3180
0.007870694444444487,3180
0.007884583333333377,3180
0.007898333333333377,3180
0.007912083333333377,3180
0.007925833333333377,3181
0.007939444444444489,3181
0.007953333333333378,3181
0.007967083333333378,3181
0.007980972222222266,3182
0.007994861111111156,3182
0.008008611111111156,3182
0.008022222222222267,3182
0.00803569444444449,3182
0.008049583333333379,3183
0.008063333333333379,3183
0.008077083333333379,3183
0.008090833333333379,3183
0.008104583333333379,3183
0.008118333333333378,3183
0.008132083333333378,3184
0.008145972222222268,3184
0.008159861111111158,3184
0.008173750000000046,3184
0.008187638888888935,3185
0.008201388888888935,3184
0.008215138888888935,3185
0.008228888888888935,3185
0.008242638888888935,3185
0.008256527777777824,3186
0.008270277777777824,3186
0.008284027777777824,3186
0.008297638888888934,3186
0.008311527777777824,3186
0.008325138888888934,3186
0.008339027777777824,3187
0.008352777777777824,3187
0.008366666666666713,3187
0.008380555555555603,3187
0.008394305555555603,3188
0.008408194444444492,3188
0.00842222222222227,3188
0.00843597222222227,3188
0.00844986111111116,3188
0.00846361111111116,3188
0.00847750000000005,3189
0.008491388888888939,3189
0.008505277777777827,3189
0.008519027777777827,3189
0.008532916666666716,3189
0.008546527777777826,3189
0.008560277777777826,3190
0.008574166666666716,3190
0.008587916666666716,3190
0.008601666666666716,3190
0.008615416666666716,3190
0.008629305555555605,3191
0.008643055555555605,3191
0.008656944444444495,3191
0.008670833333333385,3191
0.008684861111111162,3192
0.008698472222222274,3191
0.008712361111111162,3192
0.008726250000000052,3192
0.008740000000000052,3192
0.008753750000000051,3193
0.008767638888888941,3193
0.008781388888888941,3193
0.00879513888888894,3193
0.00880902777777783,3193
0.00882277777777783,3194
0.00883652777777783,3193
0.00885027777777783,3194
0.00886402777777783,3194
0.00887777777777783,3194
0.00889166666666672,3194
0.008905555555555607,3195
0.008919305555555607,3195
0.008932777777777831,3195
0.00894666666666672,3195
0.00896055555555561,3195
0.00897430555555561,3195
0.008988194444444498,3196
0.009001944444444498,3196
0.009015694444444498,3196
0.009029583333333388,3196
0.009043472222222277,3196
0.009057083333333387,3196
0.009070972222222277,3197
0.009084722222222277,3197
0.009098750000000056,3197
0.009112500000000056,3197
0.009126250000000056,3197
0.009140000000000056,3198
0.009153750000000056,3198
0.009167361111111166,3198
0.009181250000000056,3198
0.009195138888888945,3199
0.009208888888888945,3199
0.009222777777777833,3199
0.009236527777777833,3199
0.009250277777777833,3199
0.009264027777777835,3200
0.009277916666666722,3200
0.009291805555555612,3200
0.009305694444444502,3200
0.009319444444444502,3200
0.009333194444444502,3200
0.009346805555555612,3201
0.009360694444444501,3201
0.009374583333333391,3201
0.00938847222222228,3201
0.009402500000000058,3202
0.009416388888888948,3202
